pos,country,area_km,area_mi,population,density_km,density_mi,date,population source
1,Bangladesh,143998,55598,164827540,1145,2965,12-Jul-18,Official population clock
2,Taiwan,36193,13974,23572049,651,1686,01-Jan-18,Monthly official estimate
3,South Korea,100210,38691,51635256,515,1334,01-Jul-18,Annual official projection
4,Rwanda,26338,10169,12001136,456,1181,01-Jul-18,Official projection
5,Netherlands,41526,16033,17236875,415,1075,12-Jul-18,Official population clock
6,Haiti,27065,10450,11112945,411,1064,01-Jul-18,UN projection
7,India,3287240,1269211,1334224597,406,1051,12-Jul-18,India Population clock
8,Israel,22072,8522,8881330,402,1042,12-Jul-18,Official population clock
9,Burundi,27816,10740,10681186,384,995,01-Jul-18,Official annual projection
10,Belgium,30528,11787,11409388,374,969,01-May-18,Official monthly estimate
11,Philippines,300000,115831,106152800,354,916,12-Jul-18,Official population clock
12,Japan,377944,145925,126490000,335,868,01-May-18,Official monthly estimate
13,Sri Lanka,65610,25332,21444000,327,847,01-Jul-17,Official estimate
14,Vietnam,331212,127882,94660000,286,741,01-Jul-18,Official annual projection
15,United Kingdom,242910,93788,66040229,272,704,01-Jul-17,Official estimate
16,Pakistan,803940,310403,212214000,264,684,12-Jul-18,Official population clock
17,Germany,357168,137903,82740900,232,601,30-Sep-17,Official quarterly estimate
18,Dominican Republic,47875,18485,10266149,214,554,01-Jul-18,Official projection
19,North Korea,122762,47399,25610672,212,549,01-Jul-18,UN projection
20,Nigeria,923768,356669,195875237,212,549,01-Jul-18,UN projection
21,Switzerland,41285,15940,8492956,206,534,31-Mar-18,Official provisional figure
22,Italy,301308,116336,60483973,201,521,31-Dec-17,Monthly official estimate
23,Nepal,147181,56827,29291746,199,515,01-Jul-18,Official annual projection
24,Malawi,118484,45747,19164728,162,420,01-Jul-18,UN projection
25,Uganda,241551,93263,38823100,161,417,01-Jul-18,Annual official estimate
26,Guatemala,108889,42042,17245346,158,409,01-Jul-18,UN projection
